GRBa	GRB X-ray position	Error	Instrument	IPNb	XAb	OTb	RAb	IAUC	zc
170711A	03h03m09s +47° 51'	3	Swift	y	y	 	 	 	 
170710C	23h29m01s +51° 18'	2.5	INTEGRAL	 	 	 	 	 	 
170710B	02h52m29s +42° 41'	450	Fermi	y	 	 	 	 	 
170710A	15h27m15s -38° 33'	3	Swift	 	y	y	 	 	 
170708A	22h23m20s +19° 48'	276*17	IPN	 	 	 	 	 	 
170705A	12h46m49s +18° 18'	3	Swift	y	y	y	 	 	2.010
170629A	08h40m04s -46° 35'	3	Swift	y	y	 	 	 	 
170626A	11h01m39s +56° 28'	3	Swift	y	y	y	 	 	 
170616AS	07h33m45s -02° 15'	221*13	IPN	y	 	 	 	 	 
170610A	06h10m16s -09° 25'	14	MAXI	 	 	 	 	 	 
170607A	00h29m22s +09° 14'	3	Swift	y	y	y	 	 	0.557
170604A	22h50m35s -15° 25'	3	Swift	y	y	y	 	 	1.329
170531B	19h07m35s -16° 26'	3	Swift	 	y	y	 	 	2.366
170531A	08h05m03s -14° 02'	3	Swift	 	y	 	 	 	 
170526A	00h18m50s +01° 14'	3	Swift	 	y	 	n	 	 
170524B	06h03m27s -17° 05'	3	Swift	y	y	y	 	 	 
170524AS	21h17m49s +48° 35'	3	Swift	 	y	 	 	 	 
170522B	10h37m04s -35° 33'	109*7	IPN	y	 	 	 	 	 
170522A	09h17m22s +25° 40'	11	Fermi	y	y	 	 	 	 
170519A	10h53m48s +25° 23'	3	Swift	 	y	y	n	 	0.818
170516A	02h46m24s -55° 54'	3	Swift	 	y	 	 	 	 
170511A	20h02m31s +33° 19'	17	MAXI	y	 	 	 	 	 
170510A	10h39m39s -39° 20'	20	Fermi	y	y	y	 	 	 
170428AS	22h00m15s +26° 55'	3	Swift	y	y	y	 	 	0.454
170424A	22h54m48s -45° 07'	27	Fermi	y	 	 	 	 	 
170419B	04h01m59s -15° 06'	3	Swift	y	 	 	 	 	 
170419A	05h19m28s -21° 25'	3	Swift	 	y	 	 	 	 
170409A	23h10m07s -07° 10'	9	Fermi	y	 	 	 	 	 
170405A	14h39m14s -25° 15'	3	Swift	y	y	y	 	 	3.510
170331A	21h35m08s -24° 25'	3	Swift	 	y	 	 	 	 
170330A	18h53m18s -13° 26'	3	Swift	y	y	y	 	 	 
170329A	23h46m24s +09° 48'	36	Fermi	y	 	 	 	 	 
170325AS	08h29m56s +20° 32'	3	Swift	y	 	y?	 	 	 
170320A	21h20m18s +55° 04'	11*303	IPN	y	 	 	 	 	 
170318B	18h57m07s +06° 16'	3	Swift	y	y	 	 	 	 
170318A	20h22m35s +28° 25'	3	Swift	 	y	 	 	 	 
170317A	06h12m21s +50° 31'	3	Swift	 	y	y	 	 	 
170311B	23h39m40s +31° 11'	13*85	IPN	y	 	 	 	 	 
170311A	18h42m15s -30° 04'	3	Swift	 	y	 	 	 	 
170307A	00h54m08s +09° 32'	3	Swift	y	 	 	n	 	 
170306B	10h18m36s +51° 38'	39	Fermi	y	 	 	 	 	 
170306A	17h32m20s -44° 45'	3	Swift	 	y	y	 	 	 
170305A	02h38m38s +09° 54'	29*190	IPN	y	 	 	 	 	 
170228A	15h58m12s -03° 35'	17	Fermi	 	 	 	 	 	 
170222A	19h31m49s +28° 13'	48*9	IPN	 	 	 	 	 	 
170219A	03h39m22s +50° 04'	85*8	IPN	 	 	 	 	 	 
170214A	17h05m19s -01° 53'	4.8	Fermi	y	y	y	 	 	2.53
170210A	07h08m32s -46° 48'	197*10	IPN	y	 	 	 	 	 
170209A	07h08m32s -46° 48'	150	Fermi	y	 	y	 	 	 
170208B	08h28m37s -09° 02'	3	Swift	y	y	y	 	 	 
170208A	11h06m15s -46° 47'	3	Swift	y	y	 	 	 	 
170206B	18h07m09s +11° 13'	3	Swift	 	y	 	 	 	 
170206AS	14h11m10s +14° 29'	51	Fermi	y	 	 	 	 	 
170205A	17h28m36s -00° 03'	3	Swift	y	y	y	 	 	 
170203A	22h11m26s +25° 10'	3	Swift	 	 	 	 	 	 
170202A	10h10m07s +05° 00'	3	Swift	 	y	y	 	 	3.645
170131A	22h45m55s +64° 00'	3	Swift	y	y?	 	 	 	 
170127CS	22h37m19s -63° 56'	24	Fermi	y	 	 	 	 	 
170127BS	01h19m47s -30° 20'	3	Swift	y	y	 	 	 	 
170127A	11h37m21s -45° 51'	3	Swift	 	y	 	 	 	 
170126A	17h34m19s -64° 45'	3	Swift	y	y	y	 	 	 
170121B	04h50m18s -09° 16'	107	Fermi	y	?	y?	 	 	 
170117A	04h06m21s +21° 45'	3	Swift	 	 	 	 	 	 
170115B	12h36m29s -46° 51'	16	Fermi	y	 	 	 	 	 
170115A	22h08m37s +13° 47'	3	Swift	 	y	 	n	 	 
170113A	04h06m36s -71° 55'	3	Swift	y	y	y	 	 	1.968
170112AS	01h00m56s -17° 11'	3	Swift	 	n	?	 	 	 
170111A	01h22m52s -32° 32'	3	Swift	 	y	 	 	 	 
170105A	09h13m13s +61° 06'	3	IPN	y	y	y	y	 	 
170101A	17h48m25s +11° 39'	3	Swift	 	 	 	 	 	 
161224A	13h39m18s -18° 02'	3	Swift	 	y	 	 	 	 
161223A	17h19m31s -25° 01'	3	Swift	 	 	 	 	 	 
161220A	23h23m16s -47° 30'	3	Swift	 	y	 	 	 	 
161219B	06h06m52s -26° 47'	3	Swift	y	y	y	y	 	0.1475
161219A	12h33m45s +10° 28'	3.2	INTEGRAL	 	 	 	 	 	 
161218A	16h21m02s -04° 07'	3	Swift	y	 	 	 	 	 
161217A	10h02m33s +52° 23'	3	Swift	 	y	 	 	 	 
161214B	00h15m24s +07° 21'	3	Swift	 	y	y	 	 	 
161214A	12h42m55s +06° 50'	3.2	INTEGRAL	 	 	y	 	 	 
161202A	23h47m35s +19° 38'	3	Swift	y	y	 	 	 	 
161129A	21h04m46s +32° 07'	3	Swift	y	y	y	 	 	0.645
161123A	02h08m51s -39° 39'	60	MAXI	 	 	 	 	 	 
161117B	19h55m25s -67° 42'	3	Swift	 	y	 	 	 	 
161117A	21h28m17s -29° 38'	3	Swift	y	y	y	 	 	1.549
161113A	11h59m20s -05° 21'	3	Swift	 	y	 	 	 	 
161109A	10h31m26s +61° 48'	16	Fermi	 	 	 	 	 	 
161108A	12h03m08s +24° 52'	3	Swift	 	y	y	n	 	1.159
161105A	08h00m39s -44° 47'	3	Swift	 	y	 	 	 	 
161104AS	05h11m31s +51° 27'	3	Swift	 	y	 	 	 	 
161023A	20h44m08s -47° 40'	2.6	INTEGRAL	y	y	y	 	 	2.708
161022A	08h35m52s +54° 22'	3	Swift	y	y	 	n	 	 
161020B	04h12m25s -75° 35'	204*21	IPN	y	 	 	 	 	 
161020A	10h44m08s -54° 46'	2	INTEGRAL	y	 	 	 	 	 
161017A	09h31m04s +43° 08'	3	Swift	y	y	y	n	 	2.013
161015A	17h56m36s +30° 11'	12.6	Fermi	y	y	 	n	 	 
161014A	22h10m31s +07° 29'	3	Swift	y	y	y	n	 	2.823
161011A	16h22m51s +08° 20'	3	Swift	 	y	y	n	 	 
161010A	18h20m57s -28° 46'	2.7	INTEGRAL	y	y	y?	 	 	 
161007A	06h53m34s +23° 17'	3	Swift	 	y	 	 	 	 
161004B	07h28m38s -39° 54'	3	Swift	y	y	 	 	 	 
161004A	17h32m41s -00° 56'	3	Swift	 	y	y	 	 	 
161001A	04h47m39s -57° 17'	3	Swift	y	y	y	 	 	 
160927AS	17h05m03s +17° 19'	3	Swift	 	y	y	n	 	 
160917A	19h42m41s +46° 24'	3	Swift	y	y	y	 	 	 
160912A	20h06m04s +57° 33'	3	Swift	y	y	y	n	 	 
160910A	14h45m02s +38° 46'	21	Fermi	y	y	y	y	 	 
160905A	10h48m57s -50° 48'	3	Swift	y	y	y	 	 	 
160829A	13h26m48s -56° 46'	8	Fermi	 	 	 	 	 	 
160827A	11h57m11s -29° 10'	3	Swift	 	 	 	 	 	 
160826A	12h12m18s -67° 41'	3	Swift	 	y	 	 	 	 
160824A	05h20m19s +40° 02'	3	Swift	 	y	y?	n	 	 
160821BS	18h39m57s +62° 24'	3	Swift	y	y	y	y	 	0.16
160821A	11h24m59s +42° 21'	3	Swift	y	 	y	n	 	 
160819A	07h36m33s -22° 21'	66	Fermi	y	 	 	 	 	 
160816A	19h18m43s -35° 38'	8	Fermi	y	y	 	y?	 	 
160815A	19h14m11s +84° 19'	3	Swift	y	y	y	 	 	 
160814A	09h04m17s -20° 58'	60	MAXI	y	 	 	 	 	 
160804A	14h46m33s +10° 00'	3	Swift	y	y	y	 	 	0.736
160802A	01h52m07s +71° 22'	53*36	IPN	y	 	 	 	 	 
160801A	14h11m03s +13° 30'	3	Swift	 	y	 	 	 	 
160726AS	06h35m17s -06° 33'	3	Swift	y	 	 	 	 	 
160720A	03h52m37s +73° 54'	162*45	Fermi	y	 	 	 	 	 
160716A	12h42m10s -61° 22'	3	Swift	 	y	y?	 	 	 
160714AS	15h37m51s +63° 50'	3	Swift	y	?	 	 	 	 
160712A	20h16m36s -26° 59'	3	Swift	y	y	 	 	 	 
160709AS	15h43m59s -28° 11'	11	Fermi	y	 	 	 	 	 
160705B	11h12m21s +46° 43'	3	Swift	 	y	y	 	 	 
160705A	07h47m00s -14° 59'	60	MAXI	 	 	 	 	 	 
160703A	19h09m34s +36° 54'	3	Swift	y	y	y	 	 	<1.5ph
160702A	15h23m33s +08° 43'	72*22	IPN	y	 	 	 	 	 
160630A	13h12m57s -56° 04'	3	Swift	 	y	y	 	 	 
160629A	00h19m17s +76° 59'	3.1	INTEGRAL	y	y	y	 	 	3.332
160625B	20h33m04s +06° 54'	3	Fermi	y	y	y	y	 	1.406
160625A	11h47m45s -65° 07'	3	Swift	 	y	 	 	 	 
160624AS	22h00m49s +29° 38'	3	Swift	y	y	 	 	 	0.483
160623A	21h00m58s +42° 16'	6	Fermi	y	y	y	y	 	0.367
160620AS	16h42m39s +30° 19'	87*28	IPN	y	 	 	 	 	 
160612AS	23h13m27s -25° 22'	3	Fermi	y	 	 	 	 	 
160611A	10h57m45s -70° 24'	3	Swift	 	y	 	 	 	 
160607A	00h54m39s -04° 57'	3	Swift	y	y	y	 	 	 
160601AS	15h40m08s +64° 30'	3	Swift	 	y	y	 	 	 
160530A	19h18m43s -35° 38'	90	COSI	y	 	 	 	 	 
160525B	09h57m46s +51° 11'	3	Swift	 	y	y	n	 	 
160525A	06h54m07s -00° 10'	3	Swift	 	 	 	 	 	 
160521B	09h52m41s +79° 01'	10	Fermi	y	y	 	n	 	 
160521A	08h38m52s +46° 54'	3.2	INTEGRAL	 	 	 	y	 	 
160519A	04h44m27s +31° 12'	3	Swift	y	 	 	 	 	 
160509A	20h40m24s +76° 00'	30	Fermi	y	y	y	y	 	1.17
160506A	17h43m06s -46° 07'	3	Swift	 	y	 	 	 	 
160504A	11h20m10s +56° 00'	3	Swift	 	y	 	 	 	 
160503A	00h02m10s -01° 56'	32	Fermi	 	 	 	 	 	 
160501A	19h05m30s -17° 14'	3	Swift	 	y	 	 	 	 
160425A	18h41m15s -54° 22'	3	Swift	 	y	y	 	 	0.555
160424A	21h17m55s -60° 24'	3	Swift	y	y	 	 	 	 
160422A	02h48m12s -57° 54'	3	Fermi	y	y	y	 	 	 
160419A	01h05m42s -27° 21'	3	Swift	y	 	 	 	 	 
160417A	08h00m58s +07° 38'	3	Swift	 	y	y	 	 	 
160412A	02h12m26s -67° 39'	3	Swift	 	y	 	 	 	 
160411AS	23h17m27s -40° 16'	3	Swift	y	y	y	 	 	 
160410AS	10h02m43s +03° 27'	3	Swift	y	y	y	 	 	1.717
160409A	19h18m49s -05° 23'	3	Swift	y	 	 	 	 	 
160408AS	08h10m14s +71° 08'	3	Swift	y	y	y	 	 	 
160401A	05h58m57s +26° 41'	2	INTEGRAL	 	 	 	 	 	 
160327A	09h46m45s +54° 01'	3	Swift	 	y	y	 	 	5.0?
160325A	01h02m23s -72° 42'	3	Swift	y	y	y	 	 	 
160321A	06h37m39s +05° 43'	3	Swift	 	y	y	 	 	 
160314B	11h10m14s +45° 40'	39	Fermi	 	 	 	 	 	 
160314A	07h31m07s +17° 00'	3	Swift	 	y	y	 	 	0.726
160313A	12h15m09s +57° 18'	3	Swift	 	y	 	 	 	 
160310A	06h35m07s -07° 07'	6	Fermi	 	 	 	 	 	 
160303AS	11h14m44s +22° 44'	3	Swift	 	y	y	 	 	 
160228A	07h09m17s +26° 57'	3	Swift	 	y	y	 	 	1.64
160227A	12h59m09s +78° 38'	3	Swift	 	y	y	 	 	2.38
160225A	10h56m58s +53° 39'	3	Swift	 	y	y	 	 	 
160223B	06h19m54s +33° 24'	3.2	INTEGRAL	y	 	 	 	 	 
160223A	09h50m20s +09° 22'	3	Swift	y	y	y	 	 	 
160221A	15h28m19s -28° 27'	3.2	INTEGRAL	y	y	 	 	 	 
160220B	17h19m25s -18° 07'	3	Swift	y	y	 	 	 	 
160220A	15h47m42s -18° 33'	3	Swift	y	y	 	 	 	 
160216A	20h46m49s -71° 33'	3	Swift	y	y	 	 	 	 
160206A	08h50m47s -36° 06'	21*19	MAXI	 	 	 	 	 	 
160203A	10h47m48s -24° 46'	3	Swift	 	y	y	 	 	3.52
160131A	05h12m44s -07° 04'	3	Swift	 	y	y	y	 	0.972
160127A	15h03m49s +00° 05'	3	Swift	 	y	y	y	 	 
160123A	10h01m09s -33° 47'	3	Swift	 	y	 	 	 	 
160121A	07h16m19s -23° 35'	3	Swift	 	y	y	 	 	1.960
160119A	14h07m34s +20° 28'	3	Swift	 	y	y	y	 	 
160117B	08h48m46s -16° 20'	3	Swift	 	y		y	 	0.870
160117A	01h21m31s -00° 38'	3	Swift	 	y	 	 	 	 
160113A	11h34m29s +10° 42'	425	Fermi	y	 	 	 	 	 
160107A	19h58m40s +06° 25'	13*11	MAXI	 	 	 	 	 	 
160104A	05h07m13s +11° 21'	3	Swift	y	y	y	 	 	 
160102A	05h23m21s -21° 02'	13	MAXI	y	 	 	 	 	 
160101A	14h38m55s -13° 49'	9	MAXI	y	y	y	 	 	 
151231A	04h38m07s -61° 01'	123*11.6	IPN	y	 	 	 	 	 
151229AS	21h57m31s -20° 44'	3	Swift	y	y	 	 	 	 
151228B	22h57m46s +08° 05'	3	Swift	y	y	 	 	 	 
151228AS	14h16m01s -17° 41'	3	Swift	y	 	 	 	 	 
151227B	19h21m08s +35° 25'	78*10.4	IPN	y	 	 	 	 	 
151225AS	15h11m36s -18° 18'	212*15	IPN	y	 	 	 	 	 
151222AS	23h39m46s +34° 06'	58*17	IPN	y	 	 	 	 	 
151216A	21h35m39s +24° 46'	20*16	MAXI	 	 	 	 	 	 
151215A	06h14m23s +35° 31'	3	Swift	 	y	y	 	 	2.59
151212A	04h32m26s -03° 46'	31*31	MAXI	 	y	y	 	 	 
151210A	04h20m44s -71° 14'	3	Swift	 	y	y	 	 	 
151205C	21h58m54s +77° 42'	16*13	MAXI	 	 	 	 	 	 
151205B	02h44m38s -43° 29'	3	Swift	 	 	 	 	 	 
151205A	15h17m08s +35° 46'	3	Swift	y	y	 	 	 	 
151127AS	01h19m07s -82° 46'	3	Swift	 	y	 	 	 	 
151122A	19h58m49s -19° 54'	3	Swift	y	 	 	 	 	 
151120A	10h28m58s -32° 31'	2.8	INTEGRAL	y	y	y	 	 	 
151118A	03h48m38s +65° 52'	3	Swift	 	y	 	 	 	 
151114A	08h03m45s -61° 03'	3	Swift	 	y	y	 	 	 
151112A	00h08m11s -61° 42'	3	Swift	 	y	y	 	 	4.1ph
151111A	03h47m19s -44° 10'	3	Swift	y	y	y	 	 	3.5ph
151107B	01h59m00s +44° 30'	6*440	Fermi	y	 	 	 	 	 
151107A	14h28m33s -59° 41'	3	Swift	 	 	 	 	 	 
151031A	05h32m48s -39° 05'	3	Swift	 	y	y	 	 	1.167
151029A	02h34m08s -35° 22'	3	Swift	 	y	y	 	 	1.423
151027B	05h04m57s -06° 26'	3	Swift	 	y	y	y	 	4.063
151027A	18h09m58s +61° 23'	3	Swift	y	y	y	y	 	0.81
151023A	18h04m05s -08° 19'	3	Swift	 	y	 	 	 	 
151022A	23h16m51s +55° 49'	3	Swift	 	y	 	 	 	 
151021A	22h30m27s -33° 12'	3	Swift	y	y	y	 	 	2.33
151006A	09h49m48s +70° 31'	3	Swift	y	y	 	 	 	 
151004A	14h14m20s -64° 57'	3	Swift	 	y	 	 	 	 
151001B	22h27m23s +64° 40'	3	Swift	y	y	 	 	 	 
151001A	15h34m55s +15° 35'	3	Swift	 	y	y	 	 	 
150925A	15h10m05s -19° 38'	3	Swift	 	y	 	 	 	 
150922A	19h37m31s -05° 29'	75*9	IPN	y	 	 	 	 	 
150919A	08h51m50s +44° 04'	59*11	IPN	y	 	 	 	 	 
150915A	21h18m55s -34° 51'	3	Swift	 	y	y	 	 	1.968
150912A	16h33m44s -20° 59'	3	INTEGRAL	y	 	 	 	 	 
150911A	04h29m42s +05° 45'	3	Swift	y	y	 	 	 	 
150910A	00h22m42s +33° 30'	3	Swift	 	y	y	 	 	1.359
150907B	17h00m53s -63° 49'	3	Swift	 	y	 	 	 	 
150907A	14h59m22s -47° 36'	4	MAXI	 	y	 	 	 	 
150906B	10h36m57s -25° 36'	30*8.6	IPN	y	 	 	 	 	 
150902A	14h19m42s -69° 22'	7.6	Fermi	y	y	 	 	 	 
150901A	12h14m21s +25° 02'	3	Swift	 	 	 	 	 	 
150831B	18h04m05s -27° 15'	3	Swift	y	y	 	 	 	 
150831AS	14h44m05s -25° 39'	3	Swift	y	y	 	n	 	 
150824A	10h45m00s -55° 55'	60	Fermi	y	 	 	 	 	 
150821A	22h47m37s -57° 52'	3	Swift	y	y	y	 	 	0.755
150819B	03h57m33s +39° 42'	84*3.4	IPN	y	 	 	 	 	 
150819A	02h49m21s +09° 47'	3	Swift	 	y	 	 	 	 
150818A	15h21m47s +68° 21'	3	Swift	y	y	y	 	 	0.282
150817A	16h38m34s -12° 04'	3	Swift	y	y	y	 	 	 
150811B	12h25m23s -14° 07'	342*32	IPN	y	 	 	 	 	 
150811A	19h25m29s -15° 27'	3	Swift	 	y	y	y	 	 
150801B	05h31m50s -05° 23'	3	Swift	 	y	 	 	 	 
150801A	17h03m42s -09° 26'	60	MAXI	 	 	 	 	 	 
150728AS	19h29m09s +33° 54'	3	Swift	 	y	y	 	 	 
150727A	13h35m58s -18° 21'	3	Swift	y	y	y	 	 	0.313
150725A	14h41m41s -02° 25'	7	MAXI	y	 	 	 	 	 
150724B	23h27m41s +03° 40'	18	Fermi	y	y	 	 	 	 
150724A	06h30m09s -19° 09'	3	Swift	 	y	 	 	 	 
150722A	14h33m05s -35° 12'	3	Swift	 	y	 	 	 	 
150721A	22h16m24s +07° 48'	90	Fermi	 	 	 	 	 	 
150720A	07h58m20s -28° 18'	3	Swift	 	y	 	 	 	 
150716A	18h33m52s -13° 01'	3	Swift	 	y	 	 	 	 
150711A	14h46m31s -35° 28'	3	Swift	y	y	 	 	 	 
150710B	05h32m47s -46° 58'	3	Swift	y	y	 	 	 	 
150710AS	12h57m59s +14° 18'	3	Swift	y	y	 	 	 	 
150702A	03h31m07s -57° 00'	22	Fermi	y	 	 	 	 	 
150627A	07h49m58s -51° 34'	3	Fermi	y	y	y	 	 	 
150626B	12h30m41s +66° 47'	3	Swift	 	y	 	 	 	 
150626A	07h25m22s -37° 46'	3	Swift	 	y	 	 	 	 
150622A	16h46m57s -52° 56'	60	MAXI	 	y	 	 	 	 
150616A	20h58m49s -53° 24'	3	Swift	 	y	 	 	 	 
150615A	07h10m17s -22° 28'	3	Swift	 	y	y	 	 	 
150608A	00h54m36s -00° 08'	60	MAXI	y	y	 	 	 	 
150607A	09h20m06s +68° 27'	3	Swift	y	y	y	 	 	 
150530B	00h29m59s +44° 17'	3	Swift	 	 	 	 	 	 
150530A	21h50m06s +57° 34'	3	Swift	y	y	 	 	 	 
150527A	19h15m50s +04° 12'	3	Swift	y	y	 	 	 	 
150523A	07h41m26s -45° 24'	6	Fermi	y	y	y	 	 	 
150518A	15h36m50s +16° 16'	60	MAXI	y	y	y?	 	 	0.256
150514A	04h59m24s -60° 55'	7	Fermi	y	y	y	 	 	0.807
150513A	03h16m14s -22° 55'	3	Swift	y	 	 	 	 	 
150510A	01h04m38s +04° 47'	22	Fermi	y	 	 	 	 	 
150430A	21h45m58s -27° 56'	3	Swift	y	y	 	 	 	 
150428C	04h00m59s +67° 49'	60	MAXI	 	 	 	 	 	 
150428B	19h30m37s +04° 07'	3	Swift	 	y	 	 	 	 
150428A	12h34m10s +06° 34'	3	Swift	y	y	y?	 	 	 
150424AS	10h09m15s -26° 39'	3	Swift	y	y	y	y	 	0.30?
150423AS	14h46m24s +12° 17'	3	Swift	 	y	y	n	 	1.394
150418A	10h42m11s -04° 56'	60	MAXI	y	 	 	 	 	 
150413A	12h41m32s +71° 49'	3	Swift	y	n	y	y	 	3.139
150407A	14h26m25s +38° 32'	3	Swift	 	 	 	 	 	 
150403A	20h46m01s -62° 42'	3	Swift	y	y	y	 	 	2.06
150402A	11h34m38s +41° 00'	3	Swift	 	 	 	 	 	 
150330A	22h04m07s +52° 18'	8.6*277	IPN	y	 	 	 	 	 
150323C	12h50m27s +50° 12'	3	Swift	y	y	y	 	 	 
150323B	17h21m47s +38° 19'	3	Swift	y	y	 	 	 	 
150323A	08h32m46s +45° 26'	3	Swift	y	y	y	 	 	0.593
150318A	21h39m53s -61° 29'	3	Swift	 	y	 	 	 	 
150317A	09h15m45s +55° 27'	3	Swift	 	y	 	 	 	 
150314A	08h26m38s +63° 50'	3	Swift	y	y	y	y	 	1.758
150313A	16h49m25s -10° 58'	17*147	MAXI	 	 	 	 	 	 
150311A	15h40m23s -15° 49'	17	MAXI	 	 	 	 	 	 
150309A	18h27m57s +86° 26'	3	Swift	y	y	 	 	 	 
150302A	11h42m02s +36° 50'	3	Swift	 	y	y	 	 	 
150301C	00h45m20s +41° 51'	3	Swift	 	y	 	n	 	 
150301B	05h56m38s -57° 59'	3	Swift	y	y	y	 	 	1.5169
150301AS	16h17m09s -48° 42'	3	Swift	y	y	 	 	 	 
150222B	10h23m35s -41° 10'	24	MAXI	 	 	 	 	 	 
150222A	13h15m06s -12° 08'	3	Swift	 	y	?	 	 	 
150219A	18h05m04s -41° 36'	3.3	INTEGRAL	y	y	 	 	 	 
150213B	16h53m42s +34° 11'	3	Swift	 	y	y	 	 	 
150212A	19h02m05s +47° 24'	3	Swift	 	y	 	 	 	 
150211A	16h59m25s +55° 23'	3	Swift	y	y	 	 	 	 
150210A	07h28m36s +13° 16'	20	Fermi	y	 	 	 	 	 
150206A	00h40m21s -63° 11'	3	Swift	y	y	y	 	 	2.087
150204A	10h40m58s -64° 03'	1.5	Swift	y	y	 	 	 	 
150203A	06h33m39s +06° 58'	3	Swift	y	y	 	 	 	 
150202B	05h46m24s +59° 06'	3	Fermi	y	 	 	 	 	 
150202A	02h36m57s -33° 09'	3	Swift	y	y	 	 	 	 
150201A	00h47m20s -37° 37'	3	Swift	y	y	 	 	 	 
150127B	09h20m44s -03° 12'	102*43	Fermi	y	 	 	 	 	 
150127A	19h47m49s -09° 25'	414*11	Fermi	y	 	 	 	 	 
150126A	23h22m00s -12° 22'	34*28	MAXI	y	 	 	 	 	 
150123A	07h26m14s -09° 41'	8	MAXI	 	 	 	 	 	 
150120B	02h37m11s +08° 05'	3	Swift	 	y	y	 	 	3.5ph
150120AS	00h41m14s +33° 59'	3	Swift	y	y	 	 	 	 
150118C	10h40m18s -27° 25'	60*12	IPN	y	 	 	 	 	 
150118B	16h00m58s -35° 45'	30	Fermi	y	 	 	 	 	 
150110C	04h34m18s -16° 52'	11*10	MAXI	 	y?	 	 	 	 
150110B	19h17m26s +32° 31'	3	Swift	y	y	 	y	 	 
150110A	08h46m33s -48° 53'	140*100	MAXI	 	 	 	 	 	 
150103A	08h46m33s -48° 53'	3	Swift	 	y	 	 	 	 
150101BS	12h32m10s -10° 57'	3	Swift	y	y?	y	 	 	0.134
150101AS	20h50m31s +36° 44'	3	Swift	y	y	 	 	 	 
141229A	19h18m43s -35° 38'	66	MAXI	y	y?	 	 	 	 
141225A	09h15m00s +33° 48'	3	Swift	y	y	y	 	 	0.915
141222A	11h52m10s -57° 21'	6	Fermi	y	 	 	 	 	 
141221A	13h13m05s +08° 13'	3	Swift	y	y	y	 	 	1.452
141220A	13h00m12s +32° 09'	3	Swift	y	y	y	 	 	1.3195
141215A	11h56m13s -52° 45'	66*10	IPN	y	y	 	 	 	 
141212B	16h43m28s +31° 45'	3	Swift	y	y	 	 	 	 
141212AS	02h36m39s +18° 09'	3	Swift	 	y	 	n	 	0.596?
141207A	10h39m58s +03° 55'	13	Fermi	y	y	 	 	 	 
141205AS	06h11m31s +37° 52'	3	Swift	y	 	 	 	 	 
141202A	09h32m17s +54° 10'	192*10	IPN	y	 	 	 	 	 
141130A	14h51m15s +47° 18'	3	Swift	y	y	y	 	 	 
141125AS	08h31m38s -29° 32'	159*7	IPN	y	 	 	 	 	 
141121A	08h10m40s +22° 14'	3	Swift	y	y	y	y	 	1.47
141118A	10h27m30s +19° 05'	300*10	IPN	y	 	 	 	 	 
141109B	14h49m27s +73° 07'	3	Swift	 	y	 	 	 	 
141109A	09h38m02s -00° 36'	3	Swift	y	y	y	y	 	2.993
141104A	18h37m57s -12° 42'	51*10	IPN	y	 	 	 	 	 
141102A	13h54m27s -47° 06'	4	Swift	y	 	 	 	 	 
141031B	23h47m44s +41° 22'	3	Swift	 	y	 	 	 	 
141031A	08h34m24s -59° 08'	3	Swift	y	y	 	 	 	 
141029B	07h00m48s +25° 06'	60	Fermi	 	 	 	 	 	 
141028A	21h30m48s -00° 17'	24	Fermi	 	 	y	 	 	2.33
141026A	02h56m19s +26° 58'	3	Swift	 	y	y	y	 	3.35?
141022A	16h07m36s -72° 08'	3	Swift	y	y	y?	 	 	 
141020A	15h00m02s +55° 20'	3	Swift	 	y	y	 	 	 
141017A	06h14m31s -58° 33'	3	Swift	 	y	y	 	 	 
141015A	05h50m02s +18° 19'	3	Swift	 	y	 	 	 	 
141011A	17h11m45s -09° 41'	42*6	IPN	y	 	 	 	 	 
141005A	19h24m26s +36° 04'	3	Swift	y	y	y	 	 	 
141004A	05h06m56s +12° 49'	3	Swift	y	y	y	 	 	0.573
140930BS	00h25m25s +24° 16'	3	Swift	y	y	y	 	 	 
140930A	22h59m30s +52° 26'	24	MAXI	y	 	 	 	 	 
140928A	02h55m14s -56° 05'	10	Fermi	y	y	y	 	 	 
140927A	19h27m23s -65° 23'	3	Swift	 	y	 	 	 	 
140919A	14h46m13s -32° 09'	3	Swift	y	y	y	 	 	 
140916A	02h41m37s -39° 43'	3	Swift	 	y	 	 	 	 
140909A	12h54m33s +63° 30'	3	Swift	 	y	 	 	 	 
140907A	03h12m35s +46° 36'	3	Swift	y	y	y	 	 	1.21
140906CS	20h59m51s +01° 56'	11*60	IPN	y	 	 	 	 	 
140903AS	15h52m09s +27° 35'	3	Swift	 	y	y	y	 	0.351
140901B	07h28m44s -29° 13'	3	Swift	y	n	 	 	 	 
140901A	01h03m16s -32° 45'	99*12	IPN	y	 	 	 	 	 
140828A	09h28m03s +14° 35'	3	Swift	y	 	 	 	 	 
140825A	05h54m51s -11° 50'	27*9	IPN	y	 	 	 	 	 
140824A	13h46m35s +33° 18'	3	Swift	 	y	 	 	 	 
140818B	18h04m35s +01° 22'	3	Swift	y	y	y	 	 	 
140818A	13h18m03s +06° 48'	60	MAXI	y	 	y	 	 	 
140817A	08h29m01s +58° 11'	3	Swift	y	y	y	 	 	 
140815A	05h47m35s -08° 40'	2.5	INTEGRAL	 	y	y?	 	 	 
140814A	12h10m03s +49° 21'	20	MAXI	 	 	 	 	 	 
